Source,CH1
Second,Volt
-0.00572560000,5.16000,
-0.00572480000,5.16000,
-0.00572400000,5.16000,
-0.00572320000,5.16000,
-0.00572240000,5.32000,
-0.00572160000,5.12000,
-0.00572080000,5.16000,
-0.00572000000,5.16000,
-0.00571920000,5.16000,
-0.00571840000,5.16000,
-0.00571760000,5.12000,
-0.00571680000,5.16000,
-0.00571600000,5.16000,
-0.00571520000,5.16000,
-0.00571440000,5.20000,
-0.00571360000,5.16000,
-0.00571280000,5.16000,
-0.00571200000,5.20000,
-0.00571120000,5.16000,
-0.00571040000,5.12000,
-0.00570960000,5.16000,
-0.00570880000,5.16000,
-0.00570800000,5.16000,
-0.00570720000,5.08000,
-0.00570640000,5.16000,
-0.00570560000,5.16000,
-0.00570480000,5.16000,
-0.00570400000,5.12000,
-0.00570320000,5.16000,
-0.00570240000,5.16000,
-0.00570160000,5.16000,
-0.00570080000,5.16000,
-0.00570000000,5.16000,
-0.00569920000,5.16000,
-0.00569840000,5.16000,
-0.00569760000,5.16000,
-0.00569680000,5.16000,
-0.00569600000,5.12000,
-0.00569520000,5.16000,
-0.00569440000,5.16000,
-0.00569360000,5.16000,
-0.00569280000,5.20000,
-0.00569200000,5.16000,
-0.00569120000,5.12000,
-0.00569040000,5.16000,
-0.00568960000,5.16000,
-0.00568880000,5.16000,
-0.00568800000,5.16000,
-0.00568720000,5.16000,
-0.00568640000,5.16000,
-0.00568560000,5.12000,
-0.00568480000,5.16000,
-0.00568400000,5.16000,
-0.00568320000,5.16000,
-0.00568240000,5.16000,
-0.00568160000,5.16000,
-0.00568080000,5.12000,
-0.00568000000,5.20000,
-0.00567920000,5.16000,
-0.00567840000,5.16000,
-0.00567760000,5.16000,
-0.00567680000,5.12000,
-0.00567600000,5.16000,
-0.00567520000,5.12000,
-0.00567440000,5.16000,
-0.00567360000,5.16000,
-0.00567280000,5.16000,
-0.00567200000,5.16000,
-0.00567120000,5.20000,
-0.00567040000,5.08000,
-0.00566960000,5.16000,
-0.00566880000,5.12000,
-0.00566800000,5.16000,
-0.00566720000,5.16000,
-0.00566640000,5.12000,
-0.00566560000,5.16000,
-0.00566480000,5.16000,
-0.00566400000,5.16000,
-0.00566320000,5.12000,
-0.00566240000,5.20000,
-0.00566160000,5.16000,
-0.00566080000,5.16000,
-0.00566000000,5.16000,
-0.00565920000,5.16000,
-0.00565840000,5.16000,
-0.00565760000,5.16000,
-0.00565680000,5.16000,
-0.00565600000,5.16000,
-0.00565520000,5.12000,
-0.00565440000,5.16000,
-0.00565360000,5.16000,
-0.00565280000,5.16000,
-0.00565200000,5.20000,
-0.00565120000,5.12000,
-0.00565040000,5.16000,
-0.00564960000,5.16000,
-0.00564880000,5.12000,
-0.00564800000,5.16000,
-0.00564720000,5.16000,
-0.00564640000,5.16000,
-0.00564560000,5.16000,
-0.00564480000,5.16000,
-0.00564400000,5.12000,
-0.00564320000,5.16000,
-0.00564240000,5.16000,
-0.00564160000,5.16000,
-0.00564080000,5.16000,
-0.00564000000,5.16000,
-0.00563920000,5.16000,
-0.00563840000,5.16000,
-0.00563760000,5.16000,
-0.00563680000,5.16000,
-0.00563600000,5.16000,
-0.00563520000,5.20000,
-0.00563440000,5.12000,
-0.00563360000,5.16000,
-0.00563280000,5.12000,
